gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_no,D1_B7_no,D2_B7C2_no,D2_B7_no,D3_B7C2_no,D3_B7_no
ENSG00000138092,CENPO,79172,centromere protein O,1545.979416031881,0.19833717355715264,0.1532552252014902,1.294162553324962,0.19560927839361644,0.6914534212032709,1955,1849,1315,1338,1584,1324
ENSG00000168273,UQCC5,440957,ubiquinol-cytochrome c reductase complex assembly factor 5,175.88314967245503,0.29147168530411965,0.2251769933821568,1.2944114801704076,0.19552332731611335,0.6914534212032709,221,153,159,176,187,161
ENSG00000169926,KLF13,51621,KLF transcription factor 13,9569.51866125251,-0.12236311074669433,0.0945935177095368,-1.293567611286305,0.19581481604148646,0.6914534212032709,10491,11973,8141,10220,8228,8985
ENSG00000198089,SFI1,9814,SFI1 centrin binding protein,3595.2951125325153,-0.1978001600353517,0.1529048463820794,-1.2936160279778683,0.1957980833668853,0.6914534212032709,3560,4080,3475,4451,2732,3424
ENSG00000100216,TOMM22,56993,translocase of outer mitochondrial membrane 22,3628.895526952817,0.19348342311402025,0.1498236194367066,1.2914080159153933,0.1965622325153357,0.6935395661572656,4793,4381,3168,3088,3453,3141
ENSG00000186184,POLR1D,51082,RNA polymerase I and III subunit D,5353.089708546384,-0.26087145887667806,0.20200502420424576,-1.2914107453729116,0.1965612865577712,0.6935395661572656,4704,5188,5329,6999,4084,5838
ENSG00000006453,BAIAP2L1,55971,BAR/IMD domain containing adaptor protein 2 like 1,136.13323152942397,-0.5277938170676487,0.40882963849171255,-1.290987167698576,0.1967081272374632,0.6936489276475265,101,145,80,120,141,228
ENSG00000090013,BLVRB,645,biliverdin reductase B,735.8411671114073,-0.30371012559953986,0.23522801120203493,-1.291130780078255,0.19665833247170442,0.6936489276475265,675,718,601,734,640,1046
ENSG00000177732,SOX12,6666,SRY-box transcription factor 12,923.1690514284933,0.18009762458519404,0.1395662758595513,1.2904093304490718,0.19690857424801828,0.6941530293344738,1052,993,997,917,813,790
ENSG00000149313,AASDHPPT,60496,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,1569.467885103083,0.15482299710793537,0.12007365661948911,1.2894002020656887,0.19725899121267798,0.6943830496044988,1991,1729,1358,1480,1515,1424
ENSG00000150394,CDH8,1006,cadherin 8,22.090654288140524,-0.751602755976384,0.5829489431515478,-1.2893114651054298,0.19728982669053868,0.6943830496044988,11,30,15,29,21,27
ENSG00000151304,SRFBP1,153443,serum response factor binding protein 1,474.0795765892325,0.31243864883676925,0.24227051663979218,1.289627203384814,0.197180125885177,0.6943830496044988,677,543,357,350,519,430
ENSG00000151414,NEK7,140609,NIMA related kinase 7,3310.835686581826,0.16414130677941643,0.1272910793129407,1.2894957577968267,0.19722579020422565,0.6943830496044988,3646,3123,3177,3275,3367,3274
ENSG00000169905,TOR1AIP2,163590,torsin 1A interacting protein 2,1807.4656418923705,0.1548094377979691,0.12007919184367243,1.289227845566374,0.19731888712879206,0.6943830496044988,2259,2071,1649,1766,1688,1513
ENSG00000173207,CKS1B,1163,CDC28 protein kinase regulatory subunit 1B,3209.545398394657,0.15134546508919275,0.11734920974642989,1.2897016129569387,0.19715427936190114,0.6943830496044988,3642,3167,2948,3061,3269,3204
ENSG00000150477,KIAA1328,57536,KIAA1328,288.0170963117249,-0.2918834899298726,0.22650132799337094,-1.288661274155599,0.19751587117576325,0.6944096783232576,281,293,263,319,212,366
ENSG00000155506,LARP1,23367,"La ribonucleoprotein 1, translational regulator",16293.929535480302,0.15651568480399267,0.12144646880764867,1.2887627474116838,0.19748058064769744,0.6944096783232576,20299,17919,13737,14624,16425,15479
ENSG00000204152,TIMM23B,100652748,translocase of inner mitochondrial membrane 23 homolog B,292.643267768476,0.3133089844632504,0.24314953500573927,1.2885444525150134,0.1975565053039912,0.6944096783232576,424,347,231,232,305,240
ENSG00000271601,LIX1L,128077,limb and CNS expressed 1 like,3888.7590950340236,-0.22519890329240358,0.1747594893681882,-1.2886218888975363,0.19752956988579348,0.6944096783232576,3637,3717,3485,4596,3303,4610
ENSG00000167770,OTUB1,55611,"OTU deubiquitinase, ubiquitin aldehyde binding 1",2662.3373742703725,0.15544774126635985,0.12066918083234864,1.2882141089722876,0.19767144196655795,0.6946114640000642,3332,3087,2429,2331,2484,2452
ENSG00000117385,P3H1,64175,prolyl 3-hydroxylase 1,326.3850508677763,-0.2418512207556881,0.1877837023382053,-1.287924445754644,0.19777226495077516,0.6947635516484315,332,424,268,398,275,285
ENSG00000139618,BRCA2,675,BRCA2 DNA repair associated,1908.4021396424675,0.18851324335417222,0.14640087934714072,1.2876510318437098,0.1978674665579318,0.6948958089646505,2620,2130,1696,1697,1695,1741
ENSG00000135486,HNRNPA1,3178,heterogeneous nuclear ribonucleoprotein A1,21480.301479395403,-0.12345934584370502,0.09594439772001424,-1.2867801432657395,0.19817092987234203,0.6957591762950444,22995,24947,19931,22715,17242,22049
ENSG00000065150,IPO5,3843,importin 5,7603.122799986613,0.17378557013403811,0.13514871710638074,1.2858839791815768,0.19848355572269963,0.6966463994275607,10330,8002,6383,7459,7112,6797
ENSG00000149150,SLC43A1,8501,solute carrier family 43 member 1,375.2633559121343,-0.3102760945652377,0.2413238284345468,-1.2857250631981936,0.19853903101128342,0.6966463994275607,322,376,373,496,276,412
ENSG00000125945,ZNF436,80818,zinc finger protein 436,730.2452078564382,-0.19415706491116055,0.1510469667437786,-1.28540856593638,0.19864954943337354,0.6966630333620615,723,773,625,798,638,841
ENSG00000185100,ADSS1,122622,adenylosuccinate synthase 1,33.80664628641992,-0.6606192397048214,0.5139481830639712,-1.285381019865565,0.19865917043776524,0.6966630333620615,19,48,36,43,20,38
ENSG00000155961,RAB39B,116442,"RAB39B, member RAS oncogene family",1431.3026086126642,-0.1502690172159507,0.1169302454198286,-1.2851167520979874,0.19875148843973114,0.6967843993673967,1432,1589,1213,1619,1310,1470
ENSG00000134748,PRPF38A,84950,pre-mRNA processing factor 38A,1017.2697455781489,0.15999903730171017,0.12452872725687711,1.284836365280319,0.19884947167670558,0.696925550369969,1193,1063,905,940,1042,985
ENSG00000110107,PRPF19,27339,pre-mRNA processing factor 19,5551.268420567643,0.1760220658505248,0.13702029239819838,1.2846423166211198,0.19891730408027383,0.6969609777902572,7037,6713,4860,4862,5419,4761
ENSG00000008516,MMP25,64386,matrix metallopeptidase 25,404.70368935201157,0.44155160543968386,0.34380905016327595,1.2842931424579709,0.19903940535353473,0.6969745643605784,355,298,623,450,356,313
ENSG00000130164,LDLR,3949,low density lipoprotein receptor,4421.271828299813,0.2054186742554461,0.15994029992214595,1.2843459362989669,0.19902094057888728,0.6969745643605784,5730,4942,4620,4457,3586,3453
ENSG00000130332,LSM7,51690,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated",157.60988647079716,-0.3386655236567787,0.26373025242628917,-1.2841360463621194,0.1990943575020403,0.6969745643605784,125,169,139,206,138,170
ENSG00000130695,CEP85,64793,centrosomal protein 85,2235.6076722800644,0.17327813687183855,0.1350036682710873,1.2835068786715937,0.1993145512219659,0.6973410291086689,2841,2684,2039,1956,2089,1942
ENSG00000156313,RPGR,6103,retinitis pigmentosa GTPase regulator,156.041172174748,0.41435567319922917,0.3228104180945955,1.2835882919918884,0.1992860484784821,0.6973410291086689,233,209,143,115,152,100
ENSG00000130429,ARPC1B,10095,actin related protein 2/3 complex subunit 1B,13988.042743614049,0.1421735615153812,0.11078667545268461,1.2833092150698346,0.199383765498234,0.697381107944866,17175,16517,13230,13241,12681,11872
ENSG00000126226,PCID2,55795,PCI domain containing 2,1064.9798195638657,0.16295339146893045,0.12701634031157605,1.2829325035597736,0.1995157241660021,0.697554876520093,1370,1182,941,1013,1001,942
ENSG00000186230,ZNF749,388567,zinc finger protein 749,215.7088762315551,-0.30940944422243644,0.241191445120263,-1.282837556979513,0.1995489931671692,0.697554876520093,218,245,147,219,199,275
ENSG00000174871,CNIH2,254263,cornichon family AMPA receptor auxiliary protein 2,43.10618738288234,-0.5478508426667973,0.4273508580122363,-1.2819696799371132,0.1998532825590813,0.6984163628417793,42,73,34,39,27,49
ENSG00000127863,TNFRSF19,55504,TNF receptor superfamily member 19,45.1629993162854,-0.647558594701283,0.5056133576411947,-1.2807387006591284,0.2002854614923831,0.6985114564006452,34,36,41,78,27,55
ENSG00000130640,TUBGCP2,10844,tubulin gamma complex associated protein 2,2046.838205832841,0.20979561678676537,0.1638005775746409,1.2807990050655675,0.2002642736107627,0.6985114564006452,2323,2592,2096,1664,1982,1708
ENSG00000150401,DCUN1D2,55208,defective in cullin neddylation 1 domain containing 2,228.32737595874025,0.24411468661093205,0.1905966420492879,1.280792169191546,0.20026667530474837,0.6985114564006452,245,233,239,205,235,212
ENSG00000169371,SNUPN,10073,snurportin 1,285.96458320989103,-0.23862138800633262,0.18622017450259723,-1.2813938588753957,0.20005536010873667,0.6985114564006452,289,370,225,274,253,321
ENSG00000188859,FAM78B,149297,family with sequence similarity 78 member B,449.3287261419066,0.3252015429131384,0.25377207049680334,1.2814709762051408,0.20002828805002404,0.6985114564006452,642,396,321,388,514,450
ENSG00000213886,UBD,10537,ubiquitin D,546.9042411854311,0.4309569159532498,0.336403711730585,1.2810706330683697,0.20016885771971143,0.6985114564006452,759,673,363,311,726,480
ENSG00000225031,NA,NA,NA,21.09938785462932,-0.7891237746253074,0.6160539307199964,-1.2809329431646355,0.2002172204721433,0.6985114564006452,16,18,17,37,12,27
ENSG00000266094,RASSF5,83593,Ras association domain family member 5,11189.519358395886,-0.09344819585394978,0.0729804773176427,-1.2804547091028562,0.20038526358942227,0.6986577165979453,12050,12826,9930,11992,9692,11143
ENSG00000170502,NUDT9,53343,nudix hydrolase 9,571.3457626444108,0.20751036056032426,0.1621070895858143,1.2800819574919018,0.20051631339207532,0.6989128082840408,717,692,545,495,536,476
ENSG00000168894,RNF181,51255,ring finger protein 181,2139.7114303602807,-0.21598157125945233,0.16875866937169712,-1.279825042847103,0.20060667433042706,0.6990259699467752,2048,2108,1891,2388,1824,2597
ENSG00000132768,DPH2,1802,diphthamide biosynthesis 2,729.2468114506503,0.3211632005021983,0.25102719196125844,1.2793960606138801,0.2007576203933569,0.6993501178965353,1051,973,599,544,747,532
ENSG00000148985,PGAP2,27315,post-GPI attachment to proteins 2,386.73986624361874,-0.23897528930450865,0.18683950389659443,-1.2790404829846291,0.20088280037427347,0.6995843471932442,357,418,363,427,311,451
ENSG00000109944,JHY,79864,junctional cadherin complex regulator,164.39314884814925,-0.3399340678692714,0.26584661342927335,-1.2786849660573483,0.201008015915247,0.6996168302567577,169,248,112,188,145,142
ENSG00000114988,LMAN2L,81562,"lectin, mannose binding 2 like",370.63571037855576,0.18614876551802756,0.14557498580441708,1.2787139527399451,0.20099780447180646,0.6996168302567577,439,387,370,364,345,329
ENSG00000145029,NICN1,84276,"nicolin 1, tubulin polyglutamylase complex subunit",384.8705121643703,-0.23461766915763965,0.18351184783979457,-1.2784878574295668,0.20107746348175193,0.699656857083191,406,536,318,432,313,338
ENSG00000184208,C22orf46P,79640,CTA-216E10.6,1223.6524875083942,-0.19515451817447452,0.15267924353840132,-1.2781994045273743,0.20117912605785834,0.6998089219310233,1092,1359,1146,1445,1068,1253
ENSG00000008988,RPS20,6224,ribosomal protein S20,25814.32026817102,-0.14217255279638527,0.11129177886782342,-1.2774757870052347,0.20143432340827658,0.6998900779371313,25857,27510,23132,28437,22541,28007
ENSG00000161653,NAGS,162417,N-acetylglutamate synthase,96.05466423191106,-0.670533040049658,0.5246926540996001,-1.2779539313359125,0.20126567035650358,0.6998900779371313,50,64,70,117,91,176
ENSG00000163517,HDAC11,79885,histone deacetylase 11,134.54350254038368,-0.4147446280075608,0.3246288227007827,-1.2775964393951542,0.2013917566771777,0.6998900779371313,98,141,122,139,112,193
ENSG00000172469,MANEA,79694,mannosidase endo-alpha,836.2528690048284,0.17403978593627017,0.13621890258526465,1.2776478347219982,0.20137362615663978,0.6998900779371313,990,891,751,733,853,821
ENSG00000128050,PAICS,10606,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,17500.27955133932,0.1605308612045149,0.12568626475328099,1.27723472027459,0.20151939253764925,0.6999842190735263,20592,17319,15620,15895,17831,18018
ENSG00000006062,MAP3K14,9020,mitogen-activated protein kinase kinase kinase 14,2946.928555561065,-0.16655119171898836,0.13045362211263536,-1.276708066987867,0.2017053323657689,0.7004285829693108,2766,3324,2833,3352,2466,3012
ENSG00000077232,DNAJC10,54431,DnaJ heat shock protein family (Hsp40) member C10,2027.5085935306568,0.28818190794202825,0.22588121640648845,1.2758117409082192,0.2020220761742979,0.700620268592572,2913,2698,1704,1582,1983,1486
ENSG00000099849,RASSF7,8045,Ras association domain family member 7,598.4618072519701,-0.38801928233622457,0.30410645252287943,-1.2759324214175691,0.20197940897328395,0.700620268592572,646,744,610,783,273,588
ENSG00000100836,PABPN1,8106,poly(A) binding protein nuclear 1,6818.5310439508685,0.12076816450964627,0.09464866048261487,1.2759627436230758,0.2019686894377266,0.700620268592572,8020,7784,6192,6241,6589,6363
ENSG00000167483,NIBAN3,199786,niban apoptosis regulator 3,69.59496866452848,-0.41797770016732816,0.32766525170953126,-1.2756241254957883,0.20208842159325147,0.700620268592572,52,91,61,85,59,72
ENSG00000171466,ZNF562,54811,zinc finger protein 562,524.0696407887843,0.21487431819138123,0.16836543971341894,1.2762376801149142,0.2018715125496508,0.700620268592572,535,549,528,523,568,440
ENSG00000183570,PCBP3,54039,poly(rC) binding protein 3,743.9124726717577,-0.4120070122884407,0.32303770767284956,-1.2754146110573976,0.20216252981451682,0.700620268592572,487,668,652,761,688,1168
ENSG00000226287,NA,NA,NA,36.30500454308327,-0.5468989150710026,0.4288048711422666,-1.2754027574690385,0.20216672318838172,0.700620268592572,37,56,24,36,26,43
ENSG00000145907,G3BP1,10146,G3BP stress granule assembly factor 1,10152.38081266603,0.2094867554042334,0.16433625663832327,1.274744597993849,0.2023996558678038,0.7010331946008528,13765,12639,8851,8788,9534,8158
ENSG00000176087,SLC35A4,113829,solute carrier family 35 member A4,3310.8347656754886,0.19888525745883423,0.1560204997695255,1.274737984768853,0.20240199738103137,0.7010331946008528,4542,3948,2921,3024,2998,2694
ENSG00000114346,ECT2,1894,epithelial cell transforming 2,2113.835791209929,0.14951145141221958,0.11732131939837383,1.274375809775388,0.20253026110796707,0.7011974489465358,2608,2485,1936,1967,1984,1820
ENSG00000147592,LACTB2,51110,lactamase beta 2,434.2571680062148,0.3221268593373871,0.2527920363815113,1.2742761360220871,0.202565570807149,0.7011974489465358,576,590,419,343,424,289
ENSG00000066455,GOLGA5,9950,golgin A5,1704.638750335252,-0.24252952906739855,0.19057211732266952,-1.2726391062589535,0.20314613496635434,0.7019409131147816,1561,1639,1400,1944,1575,2109
ENSG00000083635,NUFIP1,26747,nuclear FMR1 interacting protein 1,551.2496314153175,0.26064139046766543,0.20487469617547874,1.272199033522527,0.20330241094387821,0.7019409131147816,702,673,470,417,592,483
ENSG00000106952,TNFSF8,944,TNF superfamily member 8,1460.3325351962446,-0.23761631914716091,0.18677653837010574,-1.2721957544598774,0.20330357571330057,0.7019409131147816,1615,1948,968,1386,1360,1601
ENSG00000118420,UBE3D,90025,ubiquitin protein ligase E3D,86.79508741128974,0.4130189162612729,0.3244931962294798,1.2728122532627408,0.20308467203279726,0.7019409131147816,104,95,113,69,72,69
ENSG00000120992,LYPLA1,10434,lysophospholipase 1,2272.560865604837,0.1299595077402717,0.10208438581163759,1.2730596036505355,0.20299689221439918,0.7019409131147816,2624,2562,2050,2213,2270,2001
ENSG00000122376,SHLD2,54537,shieldin complex subunit 2,1468.9798057347778,0.11787069156165501,0.0926374583766427,1.272386933182253,0.2032356744441202,0.7019409131147816,1710,1591,1383,1458,1381,1341
ENSG00000171517,LPAR3,23566,lysophosphatidic acid receptor 3,28.415338442689155,0.9387873997951445,0.7377263231563458,1.2725415514232477,0.20318077050254282,0.7019409131147816,24,13,26,12,56,34
ENSG00000177156,TALDO1,6888,transaldolase 1,7472.11012352148,0.17282443487533397,0.13575741566484872,1.2730386331306902,0.20300433316978744,0.7019409131147816,9487,9118,7042,6781,6759,6138
ENSG00000205307,SAP25,100316904,Sin3A associated protein 25,52.02980891404104,-0.7256351455792837,0.570239237338896,-1.272510023977945,0.20319196481858387,0.7019409131147816,28,53,62,88,22,59
ENSG00000284770,TBCE,6905,tubulin folding cofactor E,390.1123820328321,0.45512415789530325,0.3579412132698197,1.2715053227252322,0.20354893506257307,0.7025871474972862,685,549,308,274,360,225
ENSG00000122862,SRGN,5552,serglycin,17400.80396889658,-0.2547877990259323,0.20040949289813967,-1.271335979855161,0.20360914749733372,0.7025941260025171,13249,18671,17213,22068,15155,17979
ENSG00000133138,TBC1D8B,54885,TBC1 domain family member 8B,254.30932936532673,-0.26429808397672006,0.2080193439604047,-1.2705457047640132,0.203890313275294,0.7033633264245428,217,298,235,267,217,296
ENSG00000077935,SMC1B,27127,structural maintenance of chromosomes 1B,75.71970558091927,-0.5078218340693519,0.39982495562780007,-1.2701103993670841,0.2040453078042027,0.7034613604314968,64,121,53,55,65,102
ENSG00000141034,GID4,79018,GID complex subunit 4 homolog,885.5339387204333,-0.15389275365539273,0.12120935464939052,-1.2696441961970841,0.20421139883285377,0.7034613604314968,922,976,750,966,778,953
ENSG00000160213,CSTB,1476,cystatin B,3605.0861977518975,-0.2084824857640915,0.16424229879553837,-1.269359277682948,0.2043129532255373,0.7034613604314968,3198,4051,3026,3611,3466,4313
ENSG00000175063,UBE2C,11065,ubiquitin conjugating enzyme E2 C,4233.2733055266335,0.09970314326806551,0.0785450576274429,1.2693751367651955,0.2043072995580767,0.7034613604314968,4836,4528,4008,4249,3960,3945
ENSG00000175866,BAIAP2,10458,BAR/IMD domain containing adaptor protein 2,31.963724586060334,0.6946412812122448,0.5472541887102716,1.26932108614705,0.20432656874550761,0.7034613604314968,47,17,24,32,45,26
ENSG00000181991,MRPS11,64963,mitochondrial ribosomal protein S11,1327.7592656497998,0.17934775575438905,0.14126822560874822,1.2695548130625258,0.20424325398747267,0.7034613604314968,1661,1607,1211,1185,1270,1112
ENSG00000185721,DRG1,4733,developmentally regulated GTP binding protein 1,2092.826422833056,0.16557674044429513,0.13034663708092553,1.2702801096548202,0.2039848706864043,0.7034613604314968,2409,2173,1849,1875,2205,2082
ENSG00000104921,FCER2,2208,Fc epsilon receptor II,84.2082661091448,0.8797805702064126,0.6933121834785267,1.2689529928528382,0.20445783013321692,0.7035120664087948,99,16,160,93,56,70
ENSG00000135912,TTLL4,9654,tubulin tyrosine ligase like 4,1240.04097553194,0.19350906099357904,0.15248070573784173,1.2690724380976888,0.20441522945916443,0.7035120664087948,1677,1414,1070,1079,1160,1122
ENSG00000063180,CA11,770,carbonic anhydrase 11,297.23760492712233,-0.318848749239902,0.2514214309442665,-1.2681844504758322,0.2047320886258708,0.7036908088882101,228,326,256,307,278,386
ENSG00000126216,TUBGCP3,10426,tubulin gamma complex associated protein 3,2322.3249768921746,0.14253162069025274,0.11236792712403633,1.2684368603945189,0.20464198529639832,0.7036908088882101,2750,2325,2312,2397,2073,2138
ENSG00000229117,RPL41,6171,ribosomal protein L41,72681.68631870908,-0.14557839240021586,0.11475480326137223,-1.2686039125407067,0.20458236818249279,0.7036908088882101,71277,77965,66549,79824,63061,78898
ENSG00000267534,S1PR2,9294,sphingosine-1-phosphate receptor 2,1066.0491873672345,-0.20952874655762485,0.16522340343282269,-1.2681541609982392,0.2047429030664471,0.7036908088882101,1097,1383,757,1173,1038,1019
ENSG00000059804,SLC2A3,6515,solute carrier family 2 member 3,407.46027753163816,-0.45162924017940903,0.3562311476744031,-1.2677982908788206,0.20486999270171025,0.7038490655049421,290,305,417,601,283,533
ENSG00000105088,OLFM2,93145,olfactomedin 2,90.22370121322997,-0.6282769068291909,0.4957498389846775,-1.2673264970008584,0.20503856987264454,0.7038490655049421,54,112,113,124,36,104
ENSG00000140263,SORD,6652,sorbitol dehydrogenase,673.7519472544687,0.2976918122193692,0.23491508080221915,1.26723159365832,0.20507249206645692,0.7038490655049421,876,581,498,611,808,676
ENSG00000140545,MFGE8,4240,milk fat globule EGF and factor V/VIII domain containing,69.04800840495253,-0.7260155045032167,0.5727940189768564,-1.267498403352831,0.20497713415713076,0.7038490655049421,85,128,43,111,29,35
ENSG00000177842,ZNF620,253639,zinc finger protein 620,105.51906363238481,0.366178889371351,0.2889647806598702,1.2672094105556992,0.20508042176961952,0.7038490655049421,158,96,102,107,92,84
ENSG00000083168,KAT6A,7994,lysine acetyltransferase 6A,5446.564427811036,-0.20395934018273526,0.16098413065480993,-1.266953080114927,0.20517206733661508,0.7039634956016739,5087,5947,5466,6578,4156,5576
ENSG00000286070,NA,NA,NA,2147.9158849180344,0.31806035258390614,0.25112120527993353,1.2665611103186336,0.20531226547113113,0.7042444015052378,3042,2964,1788,1709,2214,1389
ENSG00000178093,TSSK6,83983,testis specific serine kinase 6,67.35119638350416,-0.5205189099456706,0.41112766602911216,-1.2660760949831393,0.2054858401203252,0.7046396005716576,39,71,60,96,59,78
ENSG00000169607,CKAP2L,150468,cytoskeleton associated protein 2 like,225.36037674674157,0.49466556526823374,0.3907917462513045,1.2658035130305225,0.20558343706300958,0.7047741110445138,310,152,330,244,134,181
ENSG00000137504,CREBZF,58487,CREB/ATF bZIP transcription factor,1653.7709306079025,-0.2644598451633354,0.208982024091279,-1.2654669525443245,0.20570398774511037,0.7049872120449795,1366,1686,1377,1751,1597,2128
ENSG00000096746,HNRNPH3,3189,heterogeneous nuclear ribonucleoprotein H3,7374.450648399363,0.15691685461992502,0.12413449408635605,1.2640874381842926,0.2061986448579188,0.7050620546164222,9286,8767,6684,6422,6889,6629
ENSG00000100211,CBY1,25776,"chibby family member 1, beta catenin antagonist",230.9665219139265,0.5192706602711267,0.4107609703092836,1.2641674789114954,0.20616992079711852,0.7050620546164222,303,271,214,86,279,237
ENSG00000119522,DENND1A,57706,DENN domain containing 1A,1312.9291119787886,-0.19558217995851485,0.15475579529572187,-1.2638116691189374,0.20629763182619587,0.7050620546164222,1242,1400,1251,1580,1066,1367
ENSG00000121039,RDH10,157506,retinol dehydrogenase 10,158.66379381661116,-0.5786049133810468,0.4574339993876331,-1.2648926711954627,0.2059098048858921,0.7050620546164222,67,165,111,187,181,232
ENSG00000125375,DMAC2L,27109,distal membrane arm assembly component 2 like,205.12420278368617,-0.2812245966431011,0.22252692461248313,-1.2637778423120545,0.20630977629284578,0.7050620546164222,243,271,148,211,157,221
ENSG00000126391,FRMD8,83786,FERM domain containing 8,434.82337776228286,-0.36041637223677686,0.28499136460988156,-1.2646571685782233,0.20599425009209196,0.7050620546164222,344,683,408,547,348,314
ENSG00000127838,PNKD,25953,PNKD metallo-beta-lactamase domain containing,415.98976899458006,-0.2583107009293077,0.20428522378804467,-1.2644610125953943,0.20606460580414218,0.7050620546164222,345,531,410,490,340,394
ENSG00000165879,FRAT1,10023,FRAT regulator of WNT signaling pathway 1,220.09914214448239,-0.32782343157327565,0.25938588322642786,-1.263844537318579,0.2062858320150798,0.7050620546164222,200,261,228,275,140,226
ENSG00000171858,RPS21,6227,ribosomal protein S21,9546.288752240025,-0.12983121886391868,0.10266498186169337,-1.264610546942118,0.20601097039924351,0.7050620546164222,9849,10422,8458,10081,8308,10440
ENSG00000187118,CMC1,152100,C-X9-C motif containing 1,736.5833898011189,0.19082132411813418,0.1509780039344364,1.2639014899216718,0.20626538697023195,0.7050620546164222,941,851,655,626,713,673
ENSG00000153790,C7orf31,136895,chromosome 7 open reading frame 31,274.8518161729125,-0.24308994996132222,0.19239768258123094,-1.2634764967020267,0.20641798800976338,0.7052322544510139,242,341,263,300,225,287
ENSG00000171365,CLCN5,1184,chloride voltage-gated channel 5,232.80601863845163,0.2685012468354894,0.21256167988045716,1.2631686340947823,0.20652858250330045,0.705410496504908,309,274,216,215,224,174
ENSG00000124549,NA,NA,NA,63.3178288030726,-0.4996662781224482,0.3958940477975966,-1.2621212188012125,0.20690517110618398,0.7064968993031858,49,94,59,89,44,50
ENSG00000179627,ZBTB42,100128927,zinc finger and BTB domain containing 42,205.21913289082346,0.23887012668078192,0.18930778557416664,1.261808255568009,0.2070177908301342,0.7066815964045916,253,224,210,191,188,173
ENSG00000188157,AGRN,375790,agrin,4400.282395415573,-0.11402242492265922,0.09037768982907297,-1.2616213706978394,0.20708506250524866,0.7067114315116938,4920,5235,3820,4519,3662,4497
ENSG00000128731,HERC2,8924,HECT and RLD domain containing E3 ubiquitin protein ligase 2,58.96655623153666,0.5782754086921063,0.45864942048555307,1.2608222813841345,0.2073728841897102,0.707094098759266,92,53,79,61,38,34
ENSG00000173404,INSM1,3642,INSM transcriptional repressor 1,285.8457916263245,0.538626952370807,0.4271249874953769,1.261052310540921,0.20729000091526423,0.707094098759266,325,229,157,199,499,291
ENSG00000182179,UBA7,7318,ubiquitin like modifier activating enzyme 7,3164.764391320581,0.2117187898728155,0.1679027953358106,1.2609604828160939,0.20732308506628971,0.707094098759266,4332,3850,2665,2831,3039,2526
ENSG00000011405,PIK3C2A,5286,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,77.44284644662571,-0.45886095507044794,0.3641745493728773,-1.2600028087097912,0.20766834902388928,0.7075021574815009,62,83,70,121,57,74
ENSG00000156265,MAP3K7CL,56911,MAP3K7 C-terminal like,116.44432836853555,-0.48688321436187076,0.3863931552770545,-1.2600720476343898,0.20764337279105732,0.7075021574815009,87,111,114,197,79,112
ENSG00000182578,CSF1R,1436,colony stimulating factor 1 receptor,61.70727773978501,0.6869984881954527,0.5451877223192061,1.2601136453935344,0.20762836847411908,0.7075021574815009,99,21,64,52,62,70
ENSG00000167785,ZNF558,148156,zinc finger protein 558,486.5600724604159,-0.29086517939493534,0.2309070484893769,-1.2596634935910882,0.2077907800837736,0.7077195708692475,459,438,416,653,400,558
ENSG00000181652,ATG9B,285973,autophagy related 9B,92.17734886813022,-0.5376825681289614,0.4269713687585152,-1.2592941997313685,0.20792408750023483,0.707973895227816,67,90,103,130,47,116
ENSG00000014123,UFL1,23376,UFM1 specific ligase 1,1872.0162172202206,-0.1663036613074561,0.1321107113181733,-1.2588204215094494,0.2080952024109102,0.7083567730220833,1843,2051,1785,2108,1511,1985
ENSG00000198952,SMG5,23381,SMG5 nonsense mediated mRNA decay factor,3461.8223112082983,0.24089101642663024,0.1913947722157516,1.258608130399108,0.2081719089015825,0.7084181589846976,4735,4071,2632,2815,3705,3049
ENSG00000100284,TOM1,10043,target of myb1 membrane trafficking protein,1369.998487461231,-0.31335666627573816,0.24918481661589498,-1.2575271259755791,0.20856282287028602,0.7091488378867455,1028,1305,1423,1756,1063,1618
ENSG00000116514,RNF19B,127544,ring finger protein 19B,7482.5030297300855,-0.22313156680583077,0.17743677142011272,-1.2575272026198425,0.2085627951352592,0.7091488378867455,8278,7839,4987,8858,7041,8256
ENSG00000121851,POLR3GL,84265,RNA polymerase III subunit GL,1308.8421454582938,-0.23859028799618912,0.1897191928094474,-1.2575970014579785,0.208537538351301,0.7091488378867455,1233,1332,1279,1682,982,1372
ENSG00000138107,ACTR1A,10121,actin related protein 1A,3799.914022356038,0.20453291965473266,0.16272637935632256,1.256913110607999,0.20878510054783042,0.7097047590130925,5093,4718,3400,3381,3512,2996
ENSG00000102871,TRADD,8717,TNFRSF1A associated via death domain,3292.6160577799897,-0.19239075802544567,0.15309909094986437,-1.2566420664669276,0.20888327493766864,0.7097591607576669,3315,3427,3150,3917,2506,3533
