gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_Il8,D1_B7_Il8,D2_B7C2_Il8,D2_B7_Il8,D3_B7C2_Il8,D3_B7_Il8
ENSG00000138867,GUCD1,83606,guanylyl cyclase domain containing 1,5645.258091639607,0.13741650000890338,0.10331398169381682,1.3300861873289658,0.18348987597600866,0.5358538050378017,5269,5901,6389,6239,5167,5050
ENSG00000153066,TXNDC11,51061,thioredoxin domain containing 11,3200.685892545377,-0.20242357250355372,0.15219851995547165,-1.3299969839573755,0.1835192650265617,0.5358538050378017,2349,3031,3499,4076,2678,3832
ENSG00000185721,DRG1,4733,developmentally regulated GTP binding protein 1,2188.984120827006,0.17910914039657833,0.13466156262316,1.3300687806349123,0.1834956105326417,0.5358538050378017,1951,1997,2284,2219,2357,2326
ENSG00000138271,GPR87,53836,G protein-coupled receptor 87,238.45091739078038,0.4588721883488074,0.34510008802804887,1.3296785607064563,0.18362420157593218,0.5359962936860289,207,159,222,197,349,281
ENSG00000100225,FBXO7,25793,F-box protein 7,2057.5912758456534,-0.1890938460303334,0.14224078264572826,-1.3293926152058628,0.1837184729372044,0.536107573228737,1590,2650,2163,2180,1737,2153
ENSG00000172663,TMEM134,80194,transmembrane protein 134,977.0040930714327,-0.22878859805952342,0.17216245857734383,-1.3289110759111304,0.18387730924757348,0.5364071337292489,757,896,1029,1293,784,1181
ENSG00000204152,TIMM23B,100652748,translocase of inner mitochondrial membrane 23 homolog B,343.50511684469666,0.3375297154119006,0.2540292198730514,1.328704294649953,0.18394554749646008,0.5364422991741603,390,352,309,270,375,341
ENSG00000185347,TEDC1,283643,tubulin epsilon and delta complex 1,980.7739144582781,0.227178783797838,0.1710806179729103,1.327904858479121,0.18420953950615426,0.5370481475434384,931,1150,1072,910,998,821
ENSG00000145907,G3BP1,10146,G3BP stress granule assembly factor 1,10458.858150928943,0.20988002529770716,0.1581728663303685,1.3269028384384225,0.1845408253147649,0.5378497558319216,10904,12070,11157,10003,9664,8863
ENSG00000092094,OSGEP,55644,O-sialoglycoprotein endopeptidase,885.0075708904593,0.1731975406020769,0.13078733725318512,1.3242684210841593,0.18541391436369525,0.5378999272595578,779,940,1072,920,829,797
ENSG00000102390,PBDC1,51260,polysaccharide biosynthesis domain containing 1,1005.4777876104952,0.2742026433553618,0.2070928646529501,1.3240564507853783,0.18548429736217725,0.5378999272595578,1124,1145,955,874,1012,878
ENSG00000110274,CEP164,22897,centrosomal protein 164,1089.3778575425636,0.19010989597558514,0.1435047130222328,1.3247641277546887,0.18524939614167987,0.5378999272595578,1092,1189,1159,1123,1036,938
ENSG00000112763,BTN2A1,11120,butyrophilin subfamily 2 member A1,530.1845406662446,-0.3866297948996672,0.29181600219560816,-1.3249095045874286,0.1852011680545914,0.5378999272595578,286,572,576,504,464,825
ENSG00000124383,MPHOSPH10,10199,M-phase phosphoprotein 10,1683.0071500784773,0.24624747391671933,0.18583650917242156,1.325075869178363,0.1851459887730209,0.5378999272595578,1808,1658,1561,1481,1760,1754
ENSG00000134717,BTF3L4,91408,basic transcription factor 3 like 4,885.1104103608574,0.21673092199117902,0.16340002110943574,1.32638246017132,0.1847130455818855,0.5378999272595578,946,906,963,968,783,745
ENSG00000137714,FDX1,2230,ferredoxin 1,1403.341426648918,0.20775365699512313,0.15678496632013983,1.3250865938951706,0.18514243205017555,0.5378999272595578,1223,1246,1493,1371,1554,1529
ENSG00000164209,SLC25A46,91137,solute carrier family 25 member 46,2817.3985032649143,-0.19066165150592168,0.14389771972250245,-1.3249803532231121,0.1851776677161045,0.5378999272595578,2367,3631,2936,3117,2194,2830
ENSG00000167702,KIFC2,90990,kinesin family member C2,208.49972597106145,-0.34746852676594575,0.26211340895629115,-1.3256419354871236,0.18495832878104776,0.5378999272595578,114,228,236,268,180,250
ENSG00000182973,CNOT10,25904,CCR4-NOT transcription complex subunit 10,1271.483598151284,-0.16809780098542895,0.12690393682820655,-1.3246066685306044,0.18530164298510748,0.5378999272595578,1029,1334,1376,1615,1015,1354
ENSG00000184588,PDE4B,5142,phosphodiesterase 4B,708.650077415538,0.29984081638593496,0.22647242125795689,1.3239617200206903,0.18551575832276118,0.5378999272595578,556,514,955,866,738,658
ENSG00000198455,ZXDB,158586,zinc finger X-linked duplicated B,702.6422390303003,-0.23728422854450698,0.17902734795235112,-1.3254077170805276,0.18503595883598564,0.5378999272595578,529,663,752,868,564,894
ENSG00000198824,CHAMP1,283489,chromosome alignment maintaining phosphoprotein 1,2224.4092482451497,0.16029704993980592,0.12089222130170006,1.3259500753135034,0.184856234696252,0.5378999272595578,2141,2440,2459,2223,2066,2038
ENSG00000213593,TMX2,51075,thioredoxin related transmembrane protein 2,1967.2541741307357,0.21157340720178436,0.15963266942168053,1.3253766160039513,0.18504626888327746,0.5378999272595578,1984,1954,1813,1941,2141,1916
ENSG00000214113,LYRM4,57128,LYR motif containing 4,1178.4800138301562,0.25093023494044786,0.18923326831377663,1.326036574733617,0.18482758286931353,0.5378999272595578,1027,947,1547,1471,1099,1037
ENSG00000254979,NA,NA,NA,402.9775769741967,0.30950579286906493,0.23334933770559171,1.326362422590447,0.1847196794381564,0.5378999272595578,404,297,487,374,378,473
ENSG00000259781,NA,NA,NA,4418.8677000618045,0.12945293283424042,0.09776739143326073,1.3240910996649562,0.18547279113530513,0.5378999272595578,4179,4531,5014,4729,3941,4216
ENSG00000146858,ZC3HAV1L,92092,"zinc finger CCCH-type containing, antiviral 1 like",279.4015485817553,-0.2879920001055453,0.21756517502935221,-1.3237044948332914,0.1856012050849948,0.5379843066640955,175,303,320,358,230,321
ENSG00000069509,FUNDC1,139341,FUN14 domain containing 1,294.617454700968,0.24471176852038723,0.18501437222117822,1.3226635616601874,0.18594728633240576,0.5380371620241537,308,270,340,321,259,271
ENSG00000071242,RPS6KA2,6196,ribosomal protein S6 kinase A2,1055.1022214612015,0.18124777738994213,0.13699824606428343,1.3229934148565345,0.1858375677504246,0.5380371620241537,983,1026,1056,1066,1132,1060
ENSG00000126756,UXT,8409,ubiquitously expressed prefoldin like chaperone,1818.7837205222465,-0.12226820425372549,0.09243671322674953,-1.3227234070276663,0.18592737650105373,0.5380371620241537,1530,1960,1869,2126,1556,1965
ENSG00000147121,KRBOX4,55634,KRAB box domain containing 4,313.99383871444206,-0.4813321773682191,0.3637104467759661,-1.3233938745364227,0.18570442777405413,0.5380371620241537,131,255,348,457,282,457
ENSG00000198815,FOXJ3,22887,forkhead box J3,3089.1037971790865,-0.14616414084441834,0.11048781446805277,-1.322898290170101,0.1858692040221933,0.5380371620241537,2476,3297,3126,3398,2745,3640
ENSG00000276043,UHRF1,29128,ubiquitin like with PHD and ring finger domains 1,8396.315376910345,0.2908155329878884,0.21987625629562715,1.322632729369752,0.18595754447839413,0.5380371620241537,9071,10630,8582,6997,8390,6425
ENSG00000141540,TTYH2,94015,tweety family member 2,443.82906293990777,-0.21628268617397733,0.16356468724787185,-1.3223067265504242,0.18606603378262018,0.5381879704805991,354,438,451,589,365,499
ENSG00000054267,ARID4B,51742,AT-rich interaction domain 4B,3891.688954226439,-0.1374899915085745,0.1040575414264995,-1.3212881029453287,0.1864053193264713,0.5385167893885471,3181,4296,4220,4748,3180,3988
ENSG00000090889,KIF4A,24137,kinesin family member 4A,2778.4250979858684,0.13399619086778874,0.10139136669256177,1.3215739686603802,0.18631005638897946,0.5385167893885471,2583,2961,3098,2809,2585,2678
ENSG00000101294,HM13,81502,histocompatibility minor 13,5266.723831403538,0.21370635406458072,0.1616884593911293,1.3217168056974218,0.18626247033367271,0.5385167893885471,5067,5097,4910,4982,5954,5444
ENSG00000175463,TBC1D10C,374403,TBC1 domain family member 10C,2772.288245813432,-0.18777339998727421,0.1421085321522469,-1.321337974176699,0.1863886974633326,0.5385167893885471,2172,3304,3161,3304,2098,2823
ENSG00000078124,ACER3,55331,alkaline ceramidase 3,731.8075501340118,0.22377203578042046,0.1694192099047029,1.3208185536120174,0.18656187177301534,0.5387057115074967,608,821,849,683,792,648
ENSG00000142534,RPS11,6205,ribosomal protein S11,53362.41974830636,-0.14607331985851071,0.11060910240945454,-1.3206265730081976,0.1866259079986669,0.5387057115074967,42146,52875,55275,63378,46993,62581
ENSG00000172270,BSG,682,basigin (Ok blood group),10628.9497744554,0.15079471516593174,0.11418786625750622,1.3205844027759748,0.18663997629522402,0.5387057115074967,9448,9594,12258,12602,10171,10055
ENSG00000092201,SUPT16H,11198,"SPT16 homolog, facilitates chromatin remodeling subunit",15193.547260176038,0.13096043901279894,0.09921705118489915,1.3199388356013864,0.1868554400188556,0.5390017345317321,14399,16178,17068,15761,13689,14343
ENSG00000165591,FAAH2,158584,fatty acid amide hydrolase 2,465.3750442999872,-0.5084127976584728,0.3851654330402292,-1.3199855284141524,0.18683984972055379,0.5390017345317321,251,279,527,835,336,643
ENSG00000006194,ZNF263,10127,zinc finger protein 263,1134.7400895055189,-0.18512593530473564,0.14027821785526842,-1.319705497654231,0.18693336380068906,0.5390636537508242,918,1193,1029,1290,1061,1363
ENSG00000008382,MPND,84954,MPN domain containing,476.53694822696895,-0.22953574463029106,0.17422365003375959,-1.317477532963025,0.18767860711479994,0.5393306513687005,381,621,500,549,371,472
ENSG00000071889,FAM3A,60343,FAM3 metabolism regulating signaling molecule A,810.1090996544362,-0.22532093385782256,0.17103586692495332,-1.317389959830404,0.18770794462929274,0.5393306513687005,541,852,867,931,733,999
ENSG00000090581,GNPTG,84572,N-acetylglucosamine-1-phosphate transferase subunit gamma,426.18322067217287,-0.19349955808391348,0.14687189792739866,-1.3174716253722252,0.18768058608600097,0.5393306513687005,350,456,441,531,342,466
ENSG00000109046,WSB1,26118,WD repeat and SOCS box containing 1,1618.8059708403634,-0.17872000264532878,0.13550931096868252,-1.3188761817749384,0.1872105101290118,0.5393306513687005,1395,1959,1642,1976,1281,1561
ENSG00000126107,HECTD3,79654,HECT domain E3 ubiquitin protein ligase 3,2025.7646996713868,-0.13310449680607161,0.10093490460274479,-1.318716229335516,0.18726399899124574,0.5393306513687005,1665,2224,1989,2504,1835,2048
ENSG00000126254,RBM42,79171,RNA binding motif protein 42,3281.308591472818,0.18449384513774902,0.14001917845552656,1.3176326784144694,0.18762664078561672,0.5393306513687005,3290,3535,3209,3229,3346,3030
ENSG00000137124,ALDH1B1,219,aldehyde dehydrogenase 1 family member B1,1703.8810994603712,0.274622091979315,0.20848394211599247,1.3172337840126112,0.18776027284767074,0.5393306513687005,1953,1960,1708,1693,1586,1276
ENSG00000153774,CFDP1,10428,craniofacial development protein 1,2679.876929178885,-0.19928926988748893,0.1511688919632597,-1.3183219596259559,0.18739589285913263,0.5393306513687005,1994,2555,2902,3286,2245,3298
ENSG00000167770,OTUB1,55611,"OTU deubiquitinase, ubiquitin aldehyde binding 1",2749.202327930165,0.17447122947377286,0.13235457152837232,1.3182108291315964,0.1874330813987914,0.5393306513687005,2840,2899,2790,2815,2600,2529
ENSG00000171316,CHD7,55636,chromodomain helicase DNA binding protein 7,1969.6292306767093,-0.12550905393636605,0.095147860971161,-1.3190948556836966,0.1871374027819601,0.5393306513687005,1563,2225,2063,2257,1745,2077
ENSG00000198668,CALM1,801,calmodulin 1,8614.303843450529,0.1838425783131002,0.13944583659517804,1.318379829774404,0.1873765294378096,0.5393306513687005,8654,9483,9431,9195,7886,7114
ENSG00000239306,RBM14,10432,RNA binding motif protein 14,3311.7470528995555,0.1921506029960144,0.14573511846965395,1.318492104125372,0.1873389665180765,0.5393306513687005,3524,3558,3380,3347,3061,2961
ENSG00000289685,NA,NA,NA,3096.2366713005435,0.1368335053368043,0.10384157244061497,1.3177141112251243,0.18759936892753695,0.5393306513687005,2809,2983,3433,3141,2980,3273
ENSG00000034713,GABARAPL2,11345,GABA type A receptor associated protein like 2,1488.7221765231284,-0.134884802853971,0.10246559481124973,-1.3163911564895534,0.1880427891176056,0.5399797144345558,1268,1574,1515,1787,1252,1615
ENSG00000102871,TRADD,8717,TNFRSF1A associated via death domain,3327.3798883746385,-0.22525322910756837,0.17119355144551446,-1.3157810396804543,0.18824754486222428,0.5404051588528315,2440,2957,3405,4615,2916,3909
ENSG00000055950,MRPL43,84545,mitochondrial ribosomal protein L43,529.9314793381011,-0.3244729774346715,0.24673596463136946,-1.3150615392427423,0.18848922115882782,0.5407737631083197,352,546,652,795,358,551
ENSG00000172123,SLFN12,55106,schlafen family member 12,301.0076302578573,0.3290398281278822,0.25018147931346035,1.3152045828125338,0.18844115538160736,0.5407737631083197,332,313,366,337,254,206
ENSG00000143393,PI4KB,5298,phosphatidylinositol 4-kinase beta,4558.78945004309,-0.14159414016127042,0.10772838721226016,-1.314362386974973,0.18872428178023498,0.5410376607907913,3959,5379,4553,5361,3798,4536
ENSG00000170145,SIK2,23235,salt inducible kinase 2,1253.6491405354104,-0.17875491170867067,0.13599184422389302,-1.3144531771653436,0.1886937451796597,0.5410376607907913,913,1331,1395,1585,1063,1341
ENSG00000188786,MTF1,4520,metal regulatory transcription factor 1,1510.8987005282424,0.15380689268819722,0.11702728163989119,1.3142823667517278,0.18875119900441203,0.5410376607907913,1447,1621,1600,1548,1463,1395
ENSG00000004897,CDC27,996,cell division cycle 27,4736.386606609249,0.1741913042007112,0.13259310544098885,1.3137282185327186,0.18893768122385068,0.5411352966740441,4630,5328,5316,4659,4316,4209
ENSG00000005810,MYCBP2,23077,MYC binding protein 2,3927.573979817963,0.2159689110741364,0.1644690288956238,1.3131281465229283,0.18913977089737596,0.5411352966740441,3011,3739,5453,4196,3714,3676
ENSG00000011638,LDAF1,57146,lipid droplet assembly factor 1,581.1686857437753,-0.31702604046197125,0.24150790753174683,-1.3126942455095278,0.18928599745405975,0.5411352966740441,385,499,555,720,537,834
ENSG00000088888,MAVS,57506,mitochondrial antiviral signaling protein,4893.098676060669,-0.19868155953634756,0.15127433832709894,-1.313385744955238,0.18905299849249083,0.5411352966740441,3373,5502,5774,6077,3976,5136
ENSG00000104853,CLPTM1,1209,CLPTM1 regulator of GABA type A receptor forward trafficking,205.92584859585358,0.8642476231324112,0.6579292313748591,1.313587513548248,0.18898505294939286,0.5411352966740441,112,213,622,119,75,132
ENSG00000134049,IER3IP1,51124,immediate early response 3 interacting protein 1,1031.1269134066074,0.20858662225779856,0.15874161162967537,1.3140009107656376,0.1888458977360692,0.5411352966740441,978,1068,1021,948,1124,1028
ENSG00000161057,PSMC2,5701,"proteasome 26S subunit, ATPase 2",4790.409349928004,0.22866612310589898,0.1741600432912745,1.3129654700617273,0.1891945838219174,0.5411352966740441,5045,5394,4571,4277,4926,4371
ENSG00000161791,FMNL3,91010,formin like 3,2861.298642983472,-0.18409931094924012,0.14024834628409333,-1.3126665363762673,0.18929533838409168,0.5411352966740441,2480,3661,2625,3232,2475,2819
ENSG00000285053,TBCE,6905,tubulin folding cofactor E,684.7045017095372,0.18062368880016666,0.13755457518636538,1.3131056422910632,0.18914735287474752,0.5411352966740441,682,681,744,676,636,688
ENSG00000106638,TBL2,26608,transducin beta like 2,919.900864104642,-0.20815286412522205,0.15866435434093523,-1.3119069181597447,0.18955154299787322,0.5413814336056516,674,881,966,1160,800,1108
ENSG00000134152,KATNBL1,79768,katanin regulatory subunit B1 like 1,589.969105847257,0.17805536704495256,0.13572100254658295,1.3119219848367931,0.18954645881475835,0.5413814336056516,569,580,661,586,549,598
ENSG00000140950,MEAK7,57707,"MTOR associated protein, eak-7 homolog",353.99516998447064,-0.3660991371404439,0.2790448180569187,-1.3119725343395128,0.18952940184421876,0.5413814336056516,314,439,385,487,185,351
ENSG00000090013,BLVRB,645,biliverdin reductase B,728.8669531158969,-0.29485159998520016,0.22493002023529082,-1.3108592604791793,0.18990531691171345,0.5417685838371067,492,627,695,938,680,996
ENSG00000113300,CNOT6,57472,CCR4-NOT transcription complex subunit 6,2237.820089814958,0.17451581076971448,0.13313439074707104,1.31082442177739,0.189917089624412,0.5417685838371067,2147,2395,2664,2373,1951,1951
ENSG00000135414,GDF11,10220,growth differentiation factor 11,280.1695000064633,-0.5528881922513144,0.4217234332505231,-1.3110207986068285,0.18985073688706283,0.5417685838371067,250,580,169,265,214,215
ENSG00000164849,GPR146,115330,G protein-coupled receptor 146,246.4678404860668,-0.5436624498675225,0.4147820772873667,-1.3107182774699924,0.18995296127983116,0.5417685838371067,110,160,276,443,197,337
ENSG00000164989,CCDC171,203238,coiled-coil domain containing 171,174.05026932989335,-0.33677974395564664,0.2569532394382338,-1.310665491869004,0.18997080212469974,0.5417685838371067,132,220,199,218,111,183
ENSG00000162783,IER5,51278,immediate early response 5,4630.810313901799,-0.2071942597180549,0.15812401248322833,-1.3103276122595946,0.19008503026635157,0.5419324780481113,3497,5843,4005,5196,4667,4787
ENSG00000198015,MRPL42,28977,mitochondrial ribosomal protein L42,1611.7758960640251,0.25935039257533465,0.19796334143064703,1.3100930237944761,0.1901643681608465,0.5419968319999291,1741,1886,1599,1359,1605,1422
ENSG00000156017,CARNMT1,138199,carnosine N-methyltransferase 1,1192.5363862692261,0.18691590106047878,0.14273141265184,1.3095638695625926,0.19034341784257036,0.5423452562103438,1063,1180,1535,1300,1040,1086
ENSG00000093144,ECHDC1,55862,ethylmalonyl-CoA decarboxylase 1,1212.9152608380268,0.22197727156749023,0.16976944626199555,1.3075219154860487,0.19103551685666653,0.5424786948362318,1252,1388,1308,1088,1136,1089
ENSG00000100216,TOMM22,56993,translocase of outer mitochondrial membrane 22,3587.005628639909,0.1923266944148553,0.1469450603769179,1.308834022195318,0.19059057963434345,0.5424786948362318,3715,3960,3594,3533,3483,3187
ENSG00000122786,CALD1,800,caldesmon 1,1410.7652875345464,0.3272196716575545,0.25027945620057795,1.3074172232311205,0.19107105105092667,0.5424786948362318,1127,1043,1388,1382,1930,1560
ENSG00000125686,MED1,5469,mediator complex subunit 1,244.6970038605503,-0.6069925671115487,0.4638892344710707,-1.3084859962392643,0.19070852130720112,0.5424786948362318,280,369,128,414,126,169
ENSG00000130713,EXOSC2,23404,exosome component 2,751.3838986243657,0.1735432275615996,0.13261594168436716,1.3086151284484449,0.19066475373783737,0.5424786948362318,700,804,879,765,690,685
ENSG00000131503,ANKHD1,54882,ankyrin repeat and KH domain containing 1,5230.546372132701,-0.17371297559071144,0.13269108590009326,-1.3091533196246858,0.19048242094613224,0.5424786948362318,3728,5242,5555,6661,4780,5823
ENSG00000153234,NR4A2,4929,nuclear receptor subfamily 4 group A member 2,330.43217744894434,-0.40973321943435453,0.31339202700804614,-1.3074143058011967,0.1910720413420871,0.5424786948362318,210,340,211,404,377,456
ENSG00000166526,ZNF3,7551,zinc finger protein 3,753.4983514194058,-0.17629980738945542,0.13468242058303723,-1.3090038523680925,0.19053304579931166,0.5424786948362318,633,775,752,883,626,891
ENSG00000169813,HNRNPF,3185,heterogeneous nuclear ribonucleoprotein F,21140.875333460102,0.11491233290072207,0.08789151764764136,1.3074337089206678,0.19106545522652463,0.5424786948362318,19439,22658,23174,22161,19860,19964
ENSG00000181192,DHTKD1,55526,dehydrogenase E1 and transketolase domain containing 1,2355.58518316226,-0.12063250550098237,0.09221040799138934,-1.3082309050432475,0.19079500266243418,0.5424786948362318,2032,2608,2312,2764,2060,2463
ENSG00000185127,C6orf120,387263,chromosome 6 open reading frame 120,556.9730875696813,0.2292589731907161,0.17521943425958583,1.3084106461105862,0.19073406360399242,0.5424786948362318,590,586,605,598,506,456
ENSG00000242259,C22orf39,128977,chromosome 22 open reading frame 39,889.3839660856306,-0.2557396317848718,0.1955174778115511,-1.3080141716607332,0.190868502581656,0.5424786948362318,685,927,1053,1127,594,1038
ENSG00000076108,BAZ2A,11176,bromodomain adjacent to zinc finger domain 2A,13162.18086622643,-0.1598118181318616,0.12231684937950281,-1.3065396872349624,0.1913690918255136,0.5429991348439833,9977,12848,13939,16326,11601,15187
ENSG00000184924,PTRHD1,391356,peptidyl-tRNA hydrolase domain containing 1,891.3287939319647,-0.16433374050763624,0.1257651263751274,-1.306671771771356,0.19132420961443267,0.5429991348439833,764,1064,856,1036,764,907
ENSG00000116191,RALGPS2,55103,Ral GEF with PH domain and SH3 binding motif 2,302.7948353050578,-0.314653177501148,0.24097480076230798,-1.305751375271453,0.1916371206410854,0.5434366581173399,221,324,300,300,249,440
ENSG00000214182,PTMAP5,150928,prothymosin alpha pseudogene 5,184.5961120301468,-0.3078164145768356,0.23571882731567567,-1.3058626588388993,0.19159926710988182,0.5434366581173399,156,230,189,202,125,218
ENSG00000134516,DOCK2,1794,dedicator of cytokinesis 2,19598.582980829226,-0.15249244807814047,0.11681927238338746,-1.305370637626279,0.1917666716148406,0.5436425714306704,16234,21700,21562,24289,15237,19986
ENSG00000115561,CHMP3,51652,charged multivesicular body protein 3,1322.9274081107146,-0.17729006863621555,0.1359273952856521,-1.3042997569668688,0.1921313981558194,0.5445148677921531,1073,1512,1466,1619,1012,1357
ENSG00000066777,ARFGEF1,10565,ADP ribosylation factor guanine nucleotide exchange factor 1,3798.6531345493922,-0.1486530037875264,0.1140159373349024,-1.3037914458474655,0.19230470000888894,0.544682668550837,2947,4001,4208,4742,3155,4027
ENSG00000121350,PYROXD1,79912,pyridine nucleotide-disulphide oxidoreductase domain 1,328.23909526176703,0.33825455664580006,0.2594128847004918,1.3039235003162464,0.19225966676488981,0.544682668550837,410,346,372,298,252,280
ENSG00000165071,TMEM71,137835,transmembrane protein 71,1085.0729867087716,-0.2803679286738359,0.21509269601503506,-1.303474891840298,0.19241268289974847,0.5448268968940683,670,978,1175,1432,972,1391
ENSG00000184787,UBE2G2,7327,ubiquitin conjugating enzyme E2 G2,3056.2638647515078,0.25821895453403976,0.19814137718457053,1.3032056110799433,0.19250457502137638,0.5449254913442342,3216,3757,3319,2728,2882,2388
ENSG00000169228,RAB24,53917,"RAB24, member RAS oncogene family",292.08845557926094,-0.36556566429861825,0.28072746543959026,-1.302208402466713,0.19284515360658183,0.5457277790858457,219,275,331,476,184,307
ENSG00000130733,YIPF2,78992,Yip1 domain family member 2,1302.4008461753467,-0.2631854209897632,0.20214884416536835,-1.3019387871170005,0.19293731185020777,0.5458268010506026,834,1250,1254,1561,1292,1715
ENSG00000093072,ADA2,51816,adenosine deaminase 2,1062.0289459959706,-0.5649016921429796,0.43400721460867403,-1.3015951650765243,0.19305481349768133,0.5459974405437978,422,1323,1563,2013,560,765
ENSG00000166484,MAPK7,5598,mitogen-activated protein kinase 7,1520.7496568378162,-0.2606189132812146,0.20037642238726608,-1.3006466039079103,0.19337944710115498,0.5464299973133554,1070,1329,1687,2016,1216,1950
ENSG00000214046,SMIM7,79086,small integral membrane protein 7,985.0542629986276,-0.18278156234214835,0.14051846084251954,-1.3007654741322103,0.19333874324256045,0.5464299973133554,722,1048,1020,1302,893,1004
ENSG00000240445,FOXO3B,2310,forkhead box O3B,239.74588690561743,-0.3881118786343144,0.2983846850440568,-1.300709781995042,0.19335781270884297,0.5464299973133554,214,339,240,325,137,207
ENSG00000197299,BLM,641,BLM RecQ like helicase,3206.674753632962,0.20033978003042732,0.15405443814521433,1.3004479613990974,0.1934474808441321,0.546460516893424,2801,2720,3395,3285,3536,3504
ENSG00000065809,FAM107B,83641,family with sequence similarity 107 member B,16492.33569473467,-0.30765457578453265,0.2366818382585437,-1.299865583469318,0.19364704273966854,0.5467764751711951,9377,14867,20066,24573,13302,19058
ENSG00000204859,ZBTB48,3104,zinc finger and BTB domain containing 48,434.92475817516447,-0.2012569943395412,0.1548384006203694,-1.2997873494765697,0.19367386248732527,0.5467764751711951,324,456,432,563,397,469
ENSG00000168216,LMBRD1,55788,LMBR1 domain containing 1,884.2472971347072,-0.2156407490229034,0.1659475027595398,-1.2994516063032886,0.19378899108674316,0.546939783297731,634,898,999,1052,716,1080
ENSG00000112972,HMGCS1,3157,3-hydroxy-3-methylglutaryl-CoA synthase 1,5904.568666226285,0.21768990702283472,0.16762358754693918,1.298683020740596,0.19405273341990847,0.5475223104885597,6047,6590,7132,6066,4893,4793
ENSG00000108091,CCDC6,8030,coiled-coil domain containing 6,9840.675028234875,-0.20130043098625283,0.15516422368684596,-1.2973379185173475,0.19451494298896768,0.5485022668808811,9175,10951,8160,10840,8412,11717
ENSG00000138658,ZGRF1,55345,zinc finger GRF-type containing 1,552.3536431168418,0.20037954226597973,0.15444106781806485,1.2974498628954798,0.19447644541143785,0.5485022668808811,570,568,580,540,520,530
ENSG00000136868,SLC31A1,1317,solute carrier family 31 member 1,1468.0326027184783,0.18755412641262167,0.14461146159340338,1.296952014356635,0.19464769796848938,0.5485526033657429,1389,1319,1546,1438,1494,1612
ENSG00000272325,NUDT3,11165,nudix hydrolase 3,1749.2025957148956,-0.20642448290334334,0.15915212584968969,-1.2970262370123775,0.19462215945390735,0.5485526033657429,1201,2109,2033,2093,1440,1785
ENSG00000164096,C4orf3,401152,chromosome 4 open reading frame 3,3618.1269381609877,-0.2949974397920827,0.22750580060655198,-1.2966589819054795,0.19474854852246853,0.5486748720249424,2333,3138,4363,5194,2700,4432
ENSG00000109475,RPL34,6164,ribosomal protein L34,7401.043924071107,-0.18066049955892402,0.13947755737646422,-1.2952657255912707,0.195228578449331,0.549782012836073,5759,6954,7167,9259,6799,8893
ENSG00000176624,MEX3C,51320,mex-3 RNA binding family member C,1636.276752620071,-0.2587183409998475,0.19975408472254427,-1.2951842329492473,0.1952566826065274,0.549782012836073,963,1752,1657,1918,1650,2010
ENSG00000138172,CALHM2,51063,calcium homeostasis modulator family member 2,936.2838333091357,-0.4870120403150669,0.3760840735227797,-1.2949552363470882,0.19533567195435464,0.5498422747111374,390,894,1303,1712,607,921
ENSG00000102554,KLF5,688,KLF transcription factor 5,181.2677820185489,0.48204210511441137,0.3723303261925354,1.29466248436917,0.1954366869943029,0.5499644819987044,236,224,169,109,185,146
ENSG00000139572,GPR84,53831,G protein-coupled receptor 84,408.2756657008055,0.508989123656847,0.3932971249851639,1.2941592788811953,0.19561040919935482,0.5502838438582925,523,435,247,261,552,371
ENSG00000166128,RAB8B,51762,"RAB8B, member RAS oncogene family",8897.941099100228,-0.15592336153253394,0.1204971941878945,-1.2939999357113534,0.19566544301412894,0.5502838438582925,6446,9397,9941,10821,7745,9736
ENSG00000124201,ZNFX1,57169,zinc finger NFX1-type containing 1,6215.132925679051,0.19332574290422483,0.14942418890590087,1.2938048673362432,0.19573283102182867,0.5503112693157892,6236,6714,5882,6212,6555,5577
ENSG00000030110,BAK1,578,BCL2 antagonist/killer 1,1789.5093156622834,0.19869962592963536,0.1536594509431879,1.2931168549020786,0.19597064650012408,0.5504704325731704,1501,1507,2003,2110,1943,1718
ENSG00000077454,LRCH4,4034,leucine rich repeats and calponin homology domain containing 4,2284.650360190954,-0.13399815227715173,0.10367569692613612,-1.2924740922901041,0.19619301236347916,0.5504704325731704,1950,2682,2272,2636,1965,2314
ENSG00000092054,MYH7,4625,myosin heavy chain 7,225.8527589021617,0.2853668002756046,0.22073807966035938,1.2927846464673736,0.1960855520420043,0.5504704325731704,203,190,250,272,252,191
ENSG00000103274,NUBP1,4682,"NUBP iron-sulfur cluster assembly factor 1, cytosolic",190.47375168092725,0.3168643431894878,0.24514978102182233,1.2925336578672355,0.19617239768527572,0.5504704325731704,148,202,262,172,198,167
ENSG00000141293,SKAP1,8631,src kinase associated phosphoprotein 1,1001.7802777747524,-0.3016783603453305,0.2333911143909125,-1.2925871712495534,0.1961538789267226,0.5504704325731704,647,893,1179,1512,765,1144
ENSG00000185905,C16orf54,283897,chromosome 16 open reading frame 54,1124.0059957255066,-0.3777862202557494,0.2921564172662043,-1.2930957457337717,0.19597794635274057,0.5504704325731704,757,1451,1442,1703,641,931
